"q","m","n","N","s","levels","lambda","enod"
2,2,1,4,3,2,1,0
2,3,1,8,7,2,3,0
2,3,2,8,7,4,1,4
2,4,1,16,15,2,7,0
2,4,2,16,35,4,7,8.47058823529412
2,4,3,16,15,8,1,12
2,5,1,32,31,2,15,0
2,5,2,32,155,4,35,17.4545454545455
2,5,3,32,155,8,15,24.7272727272727
2,5,4,32,31,16,1,28
3,2,1,9,4,3,1,0
3,3,1,27,13,3,4,0
3,3,2,27,13,9,1,18
3,4,1,81,40,3,13,0
3,4,2,81,130,9,13,60.2790697674419
3,4,3,81,40,27,1,72
3,5,1,243,121,3,40,0
3,5,2,243,1210,9,130,188.129032258065
3,5,3,243,1210,27,40,224.709677419355
3,5,4,243,121,81,1,234
5,2,1,25,6,5,1,0
5,3,1,125,31,5,6,0
5,3,2,125,31,25,1,100
