"m","p","n","N","s","l","lambda","enod","enod_margin_min","enod_margin_med","ddexc_min","ddexc_med"
3,2,1,8,7,2,3,0,Inf,Inf,31.7040951122853,57.0673712021136
3,2,2,8,7,4,1,4,11.9047619047619,27.3809523809524,1.20362403674815,3.37014730289481
4,2,1,16,15,2,7,0,Inf,Inf,5.94255458832134,8.72598213257762
4,2,2,16,35,4,7,8.47058823529412,11.0714285714286,13.3928571428571,1.11787934863932e-05,1.92958606651359e-05
4,2,3,16,15,8,1,12,7.3015873015873,8.73015873015873,0.0206394426171395,0.0271370449225352
5,2,1,32,31,2,15,0,Inf,Inf,0.165892751017237,0.238301825344513
5,2,2,32,155,4,35,17.4545454545455,5.84773425499233,6.14679339477729,0,0
5,2,3,32,155,8,15,24.7272727272727,1.9991867714828,2.29161019246408,0,0
5,2,4,32,31,16,1,28,3.28725038402458,3.77880184331797,7.7998270984218e-07,9.80799153794085e-07
2,3,1,9,4,3,1,0,Inf,Inf,56.25,109.375
3,3,1,27,13,3,4,0,Inf,Inf,4.38307221592123,5.39481734063228
3,3,2,27,13,9,1,18,19.6581196581197,22.8632478632479,0.151101382522168,0.197979221075738
2,5,1,25,6,5,1,0,Inf,Inf,29.1295407813571,31.913982179575
