"m","q","n","N","s","levels","r","M_r","M_r_observed","phi","orthogonal","cells_ok","phi_ok","orth_ok","mult_ok","avg_efnod","avg_ok"
3,2,1,8,7,2,1,21,21,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE
3,2,2,8,7,4,0,21,21,4,FALSE,TRUE,TRUE,TRUE,TRUE,4,TRUE
4,2,1,16,15,2,2,105,105,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE
4,2,2,16,35,4,0,280,280,0,TRUE,TRUE,TRUE,TRUE,TRUE,8.47058823529412,TRUE
4,2,2,16,35,4,1,315,315,16,FALSE,TRUE,TRUE,TRUE,TRUE,8.47058823529412,TRUE
4,2,3,16,15,8,0,105,105,12,FALSE,TRUE,TRUE,TRUE,TRUE,12,TRUE
5,2,1,32,31,2,3,465,465,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE
5,2,2,32,155,4,1,8680,8680,0,TRUE,TRUE,TRUE,TRUE,TRUE,17.4545454545455,TRUE
5,2,2,32,155,4,2,3255,3255,64,FALSE,TRUE,TRUE,TRUE,TRUE,17.4545454545455,TRUE
5,2,3,32,155,8,0,8680,8680,16,FALSE,TRUE,TRUE,TRUE,TRUE,24.7272727272727,TRUE
5,2,3,32,155,8,1,3255,3255,48,FALSE,TRUE,TRUE,TRUE,TRUE,24.7272727272727,TRUE
5,2,4,32,31,16,0,465,465,28,FALSE,TRUE,TRUE,TRUE,TRUE,28,TRUE
2,3,1,9,4,3,0,6,6,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE
3,3,1,27,13,3,1,78,78,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE
3,3,2,27,13,9,0,78,78,18,FALSE,TRUE,TRUE,TRUE,TRUE,18,TRUE
2,5,1,25,6,5,0,15,15,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE
